計算時刻,★★判断★★,通貨ペア,現在価格,適正価格(今日),適正価格(明日),適正価格(明後日),適正価格乖離率,ロングエントリ推奨価格,ショートエントリ推奨価格,EMA(200),EMA(100),EMA(50),EMA(200)BTC建て,価格変動率,BTC連動率上昇,BTC連動率下落,RSI(14),RSI(14)BTC建て,ロング評価,ショート評価,小数点位置,STAR
2021-06-18 21:08:05,L,XEMUSDT,0.1577,0.1752,0.1618,0.162,-10.0,0.1643,0.186,-66.3,-52.5,-32.9,-39.7,-3.07,106.03,150.42,35.4,34.9,1,0,4,1
2021-06-18 21:08:08,,XLMUSDT,0.31219,0.3308,0.31286,0.31765,-5.6,0.30685,0.35475,-17.8,-28.0,-26.1,-9.3,-1.72,137.41,147.35,39.2,40.7,0,0,5,0
2021-06-18 21:08:11,,XMRUSDT,277.84,277.2,267.27,272.54,0.2,254.1,300.3,12.3,-2.9,-4.8,16.5,0.39,235.95,126.62,56.3,62.8,0,0,2,0
2021-06-18 21:08:13,,XRPUSDT,0.8336,0.8593,0.8218,0.8386,-3.0,0.8065,0.912,3.5,-14.5,-18.1,9.0,-0.93,87.53,92.85,41.1,48.2,0,0,4,0
2021-06-18 21:08:16,,XTZUSDT,3.21,3.244,3.163,3.296,-1.0,2.978,3.511,-20.5,-25.8,-21.6,-22.7,-4.83,146.0,182.44,45.7,50.9,0,0,3,0
2021-06-18 21:08:19,,YFIIUSDT,1787.2,1789.3,1815.1,1862.7,-0.1,1617.7,1960.9,-24.6,-18.1,-12.1,-51.4,-5.18,131.31,208.8,45.7,50.8,0,0,1,0
2021-06-18 21:08:21,L,YFIUSDT,35512.0,38768.0,35656.0,36264.0,-8.4,36149.0,41387.0,-10.5,-18.4,-19.6,-4.6,-2.2,154.53,176.07,36.6,37.7,1,0,0,1
2021-06-18 21:08:24,,ZECUSDT,137.5,137.24,137.32,140.7,0.2,122.46,152.02,-10.0,-21.2,-19.9,-6.0,-3.25,187.08,201.49,49.2,54.9,0,0,2,0
2021-06-18 21:08:27,,ZENUSDT,82.623,86.057,88.41,84.714,-4.0,76.036,96.079,17.2,-7.6,-14.9,36.7,-3.75,161.13,207.09,44.0,47.1,0,0,3,0
2021-06-18 21:08:29,,ZILUSDT,0.10055,0.10628,0.10304,0.10328,-5.4,0.0967,0.11586,-18.4,-28.7,-24.9,-4.7,-2.79,140.55,185.5,39.2,39.8,0,0,5,0
2021-06-18 21:08:32,,ZRXUSDT,0.8525,0.8864,0.8582,0.8721,-3.8,0.8195,0.9533,-26.8,-33.3,-27.5,-19.6,-2.55,179.84,199.33,41.1,45.4,0,0,4,0
